Feature: phone, Score: 300.00000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: services, Score: 70.000000000304, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: toll, Score: 70.000000000304, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: atlanta, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: brokers, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: central, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: clones, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: dial, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: foreign, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: installed, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: kraft, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: local, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: lower, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: mass, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: megaquest, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: motor, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: operator, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: phones, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: ring, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: shoe, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: telesis, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: toys, Score: 60.00000000026057, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: sales, Score: 57.79775913426086, Log-Likelihood: 1.2041199819637678, Predicted Sense: product
Feature: aimed, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: asked, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: calling, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: chemicals, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: consider, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: fiscal, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: fourth, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: grew, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: investors, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: items, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: limited, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: luxury, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: mart, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: meanwhile, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: months, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: morris, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: offering, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: party, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: plant, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: powerful, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: problems, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: send, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: serves, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: sex, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: standard, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: top, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: toy, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: traders, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: trying, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: went, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: women, Score: 50.00000000021714, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: products, Score: 41.439678462985185, Log-Likelihood: 1.010723864950858, Predicted Sense: product
Feature: agreement, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: answering, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: beatrice, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: boost, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: buyers, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: california, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: cellular, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: chain, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: chevrolet, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: chips, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: clogged, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: coleco, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: combined, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: complete, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: contact, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: cray, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: credit, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: currency, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: dedicated, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: division, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: economy, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: entrees, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: estimated, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: exclusive, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: expect, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: expects, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: fit, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: focus, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: government, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: handle, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: illinois, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: installing, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: introduce, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: kansas, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: label, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: launch, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: location, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: looking, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: macintosh, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: makers, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: merlin, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: messages, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: minnetonka, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: minutes, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: motors, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: noise, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: older, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: olivetti, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: options, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: philip, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: picture, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: plan, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: produce, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: rates, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: remain, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: remaining, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: residential, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: retail, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: retailers, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: similar, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: smith, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: southwestern, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: space, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: specialty, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: speed, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: sun, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: though, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: toyota, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: truck, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: version, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: video, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: want, Score: 40.00000000017371, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: ibm, Score: 37.35126000625464, Log-Likelihood: 0.7781512501303051, Predicted Sense: product
Feature: abc, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: accommodate, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: acquisitions, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: ads, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: adult, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: aggressive, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: agreed, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: ahead, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: allows, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: along, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: announcement, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: answered, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: appears, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: armonk, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: average, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: away, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: bath, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: benefiting, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: berkshire, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: better, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: bid, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: bigger, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: biggest, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: bit, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: blue, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: bolstered, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: bought, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: brand, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: broker, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: bull, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: busy, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: cabbage, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: calvin, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: cards, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: cereal, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: channel, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: charged, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: chicago, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: cited, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: competitors, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: concerns, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: consists, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: continued, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: corsica, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: counter, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: countries, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: cuts, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: days, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: defense, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: depression, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: desk, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: dinners, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: discounts, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: economic, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: establish, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: example, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: fall, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: fans, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: fcc, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: fell, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: fields, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: filter, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: ford, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: function, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: furniture, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: gold, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: goods, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: grand, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: grocery, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: hasbro, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: heard, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: heavy, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: hullo, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: hundreds, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: indeed, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: intel, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: interested, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: interests, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: inventories, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: jaclyn, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: jenko, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: keeping, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: klein, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: later, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: launched, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: leave, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: licensing, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: live, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: loss, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: manager, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: manufacturers, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: manufacturing, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: margins, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: menswear, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: micro, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: microprocessor, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: microsoft, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: missouri, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: moment, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: monitor, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: morgan, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: nabisco, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: named, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: nation, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: nationwide, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: ncr, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: news, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: night, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: noxell, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: nynex, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: operators, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: particularly, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: parties, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: partly, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: parts, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: paul, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: pennsylvania, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: philadelphia, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: player, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: plc, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: point, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: poyner, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: predicted, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: presence, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: prix, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: production, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: provides, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: pushing, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: restructuring, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: revlon, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: product
Feature: room, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: russell, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: san, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
Feature: satellite, Score: 30.000000000130285, Log-Likelihood: 10.000000000043428, Predicted Sense: phone
